sample,new.name,family,extraction.code,no.missing.data,Locality,WGS.X,WGS.Y,Lambert.X,Lambert.Y,Collector,keep.for.species.tree.campanula,keep.for.species.tree.phyteuma,keep.for.species.tree.gentiana,keep.for.species.tree.androsace,keep.for.species.tree.primula,keep.for.species.tree.saxifraga
Adenophora_liliifolia361368PHA000132BGNNR,Adenophora_liliifolia361368PHA000132BGNNR,Campanulaceae,BGN:NR,1,Canton du Tessin (CH). Meride. Costa di prabello,8.94101,45.91091,716577,85483,Adrian Moehl,0,0,,,,
Campanula_adsurgens1904707CLA001475BGNMLC,Campanula_adsurgens1904707CLA001475BGNMLC,Campanulaceae,BGN:MLC,1,L??on (E). Priaranza del Bierzo. Castillo de Cornatel (780 m),-6.69333333,42.48766667,,,Cristina Roquet,1,0,,,,
Campanula_albanica1904708CLA001477BGNMNV,Campanula_albanica1904708CLA001477BGNMNV,Campanulaceae,BGN:MNV,1,Cafa od Carina pass,19.64875,42.67552,,,Jan Smycka,1,0,,,,
Campanula_alpestris440356PHA001479RSZRSZAXPI000941-66,Campanula_alpestris440356PHA001479RSZRSZAXPI000941-66,Campanulaceae,RSZ:RSZAXPI000941-66,1,Bouches-du-Rh??ne (FR). P??one. Col de Crous.,6.9045479881,44.14344865,965633.98,1915308.89,CBNM,0,0,,,,
Campanula_alpina361372PHA001482BGNND,Campanula_alpina361372PHA001482BGNND,Campanulaceae,BGN:ND,1,,,,,,,0,0,,,,
Campanula_andorrana1907868CLA001484BGNMQM,Campanula_andorrana1907868CLA001484BGNMQM,Campanulaceae,BGN:MQM,1,"Andorre (AND). Pic de Casamanya, loc. class.",,,,,Llorenc Saez,1,0,,,,
Campanula_andorrana1907868CLA001485BGNMQN,Campanula_andorrana1907868CLA001485BGNMQN,Campanulaceae,BGN:MQN,1,"Andorre (AND). Pic de Casamanya, loc. class.",,,,,Llorenc Saez,0,0,,,,
Campanula_arvatica239398CLA001486BGNMLD,Campanula_arvatica239398CLA001486BGNMLD,Campanulaceae,BGN:MLD,1,"Espagne (E). Sobre Puerto Ventana (Babia), c. 1630 m",-6.00263889,43.05827778,,,Cristina Roquet,1,0,,,,
Campanula_barbata239399PHA001487BGNKA,Campanula_barbata239399PHA001487BGNKA,Campanulaceae,BGN:KA,1,Hautes-Alpes (FR). Villard-d'Ar??ne. Col du Galibier.,6.4027987374,45.0313415213,920406.1,2011698.96,SAJF,0,0,,,,
Campanula_baumgartenii649649CLA001491BGNMMQ,Campanula_baumgartenii649649CLA001491BGNMMQ,Campanulaceae,BGN:MMQ,1,Deutschland (DE). Frankfurt am Main.,8.5437089,50.2009067,,,Kristyna Semberova,1,0,,,,
