sample_ID,SPECIES,POPULATION,RADSEQCODE,PLASTOMESEQCODE,PLASTOMETREETIP
AND_VAN_1,Androsace vandelii,Rateau,AV_1,,
AND_VAN_2,Androsace vandelii,Rateau,AV_2,,
AND_VAN_3,Androsace vandelii,Rateau,AV_3,,
AND_VAN_4,Androsace vandelii,Rateau,AV_4,GWM-1399,Androsace_vandelii229460ECVT00004GWM1399
AND_VAN_5,Androsace vandelii,Rateau,AV_5,,
AND_VAN_6,Androsace vandelii,Rateau,AV_6,,
AND_VAN_8,Androsace vandelii,Rateau,AV_8,,
AND_VAN_11,Androsace vandelii,Dibona I,AV_11,,
AND_VAN_12,Androsace vandelii,Dibona I,AV_12,,
AND_VAN_13,Androsace vandelii,Dibona I,AV_13,,
AND_VAN_14,Androsace vandelii,Dibona I,AV_14,,
AND_VAN_15,Androsace vandelii,Dibona I,AV_15,,
AND_VAN_16,Androsace vandelii,Dibona I,AV_16,,
AND_VAN_17,Androsace vandelii,Dibona I,AV_17,,
AND_VAN_18,Androsace vandelii,Dibona I,AV_18,,
AND_VAN_19,Androsace vandelii,Dibona I,AV_19,GWM-1400,Androsace_vandelii229460ECVT00019GWM1400
AND_VAN_20,Androsace vandelii,Dibona II,AV_20,,
AND_VAN_21,Androsace vandelii,Dibona II,AV_21,,
AND_VAN_22,Androsace vandelii,Dibona II,AV_22,,
AND_VAN_23,Androsace vandelii,Dibona II,AV_23,,
AND_VAN_24,Androsace vandelii,Dibona II,AV_24,,
AND_VAN_25,Androsace vandelii,Dibona II,AV_25,,
AND_VAN_26,Androsace vandelii,Dibona III,AV_26,,
AND_VAN_27,Androsace vandelii,Dibona III,AV_27,,
AND_VAN_28,Androsace vandelii,Dibona III,AV_28,,
AND_VAN_29,Androsace vandelii,Dibona III,AV_29,,
AND_VAN_30,Androsace vandelii,Dibona III,AV_30,,
AND_VAN_31,Androsace vandelii,Dibona III,AV_31,,
AND_VAN_32,Androsace vandelii,Dibona III,AV_32,,
AND_VAN_33,Androsace vandelii,Pointe Burlan,AV_33,,
AND_VAN_34,Androsace vandelii,Pointe Burlan,AV_34,,
AND_VAN_35,Androsace vandelii,Pointe Burlan,AV_35,,
AND_VAN_36,Androsace vandelii,Pointe Burlan,AV_36,,
AND_VAN_37,Androsace vandelii,Pointe Burlan,AV_37,,
AND_VAN_38,Androsace vandelii,Pointe Burlan,AV_38,GWM-1401,Androsace_vandelii229460ECVT00038GWM1401
AND_VAN_39,Androsace vandelii,Pointe Burlan,AV_39,,
AND_VAN_40,Androsace vandelii,Rouies,AV_40,,
AND_VAN_41,Androsace vandelii,Rouies,AV_41,,
AND_VAN_42,Androsace vandelii,Rouies,AV_42,,
AND_VAN_43,Androsace vandelii,Rouies,AV_43,,
AND_VAN_44,Androsace vandelii,Rouies,AV_44,,
AND_VAN_45,Androsace vandelii,Rouies,AV_45,GWM-1402,
AND_VAN_46,Androsace vandelii,Rouies,AV_46,,
AND_VAN_47,Androsace vandelii,Rouies,AV_47,,
AND_VAN_48,Androsace vandelii,Rouies,AV_48,,
AND_VAN_49,Androsace vandelii,Rouies,AV_49,,
AND_VAN_50,Androsace vandelii,Meije I,AV_50,,
AND_VAN_51,Androsace vandelii,Meije II,AV_51,GWM-1403,Androsace_vandelii229460ECVT00051GWM1403
AND_VAN_52,Androsace vandelii,Meije II,AV_52,,
AND_VAN_53,Androsace vandelii,Meije II,AV_53,,
AND_VAN_54,Androsace vandelii,Pierre-Andre,AV_54,,
AND_VAN_55,Androsace vandelii,Pierre-Andre,AV_55,,
AND_VAN_56,Androsace vandelii,Pierre-Andre,AV_56,,
AND_VAN_57,Androsace vandelii,Pierre-Andre,AV_57,,
AND_VAN_58,Androsace vandelii,Pierre-Andre,AV_58,,
AND_VAN_59,Androsace vandelii,Pierre-Andre,AV_59,,
AND_VAN_60,Androsace vandelii,Pierre-Andre,AV_60,,
AND_VAN_61,Androsace vandelii,Pierre-Andre,AV_61,,
AND_VAN_62,Androsace vandelii,Pierre-Andre,AV_62,GWM-1205,Androsace_vandelii229460ECVT00062GWM1205
AND_VAN_63,Androsace vandelii,Orny,AV_63,,
AND_VAN_64,Androsace vandelii,Orny,AV_64,,
AND_VAN_65,Androsace vandelii,Orny,AV_65,GWM-1404,Androsace_vandelii229460ECVT00065GWM1404
AND_VAN_66,Androsace vandelii,Orny,AV_66,,
AND_VAN_67,Androsace vandelii,Orny,AV_67,,
AND_VAN_68,Androsace vandelii,Orny,AV_68,,
AND_VAN_69,Androsace vandelii,Orny,AV_69,,
AND_VAN_70,Androsace vandelii,Orny,AV_70,,
AND_VAN_71,Androsace vandelii,Chullo I,AV_71,,
AND_VAN_72,Androsace vandelii,Chullo I,AV_72,,
AND_VAN_73,Androsace vandelii,Chullo I,,GWM-1405,
AND_VAN_77,Androsace vandelii,Chullo I,AV_77,,
AND_VAN_86,Androsace vandelii,Chullo II,AV_86,,
AND_VAN_87,Androsace vandelii,Chullo II,AV_87,GWM-1206,Androsace_vandelii229460ECVT00087GWM1206
AND_VAN_88,Androsace vandelii,Bas Index,AV_88,GWM-1406,Androsace_vandelii229460ECVT00088GWM1406
AND_VAN_89,Androsace vandelii,Bas Index,AV_89,,
AND_VAN_90,Androsace vandelii,Bas Index,AV_90,,
AND_VAN_91,Androsace vandelii,Bas Index,AV_91,,
AND_VAN_92,Androsace vandelii,Bas Index,AV_92,,
AND_VAN_93,Androsace vandelii,Bas Index,AV_93,,
AND_VAN_94,Androsace vandelii,Bas Index,AV_94,,
AND_VAN_95,Androsace vandelii,Pointe de Buffere I,AV_95,,
AND_VAN_96,Androsace vandelii,Pointe de Buffere I,AV_96,GWM-1207,
AND_VAN_97,Androsace vandelii,Pointe de Buffere I,AV_97,,
AND_VAN_98,Androsace vandelii,Pointe de Buffere I,AV_98,,
AND_VAN_99,Androsace vandelii,Pointe de Buffere I,AV_99,,
AND_VAN_100,Androsace vandelii,Pointe de Buffere I,AV_100,,
AND_VAN_101,Androsace vandelii,Pointe de Buffere I,AV_101,,
AND_VAN_102,Androsace vandelii,Pointe de Buffere I,AV_102,,
AND_VAN_104,Androsace vandelii,Pointe de Buffere I,AV_104,,
AND_VAN_105,Androsace vandelii,Pointe de Buffere II,AV_105,GWM-1407,Androsace_vandelii229460ECVT00105GWM1407
AND_VAN_106,Androsace vandelii,Pointe de Buffere II,AV_106,,
AND_VAN_107,Androsace vandelii,Pointe de Buffere II,AV_107,,
AND_VAN_108,Androsace vandelii,Pointe de Buffere II,AV_108,,
AND_VAN_109,Androsace vandelii,Pointe de Buffere II,AV_109,,
AND_VAN_110,Androsace vandelii,Pointe de Buffere II,AV_110,,
AND_VAN_111,Androsace vandelii,Pointe de Buffere II,AV_111,,
AND_VAN_112,Androsace vandelii,Aguilles de lArgentiere,AV_112,,
AND_VAN_113,Androsace vandelii,Aguilles de lArgentiere,AV_113,,
AND_VAN_114,Androsace vandelii,Aguilles de lArgentiere,AV_114,GWM-1208,Androsace_vandelii229460ECVT00114GWM1208
AND_VAN_115,Androsace vandelii,Domenon,AV_115,,
AND_VAN_116,Androsace vandelii,Domenon,AV_116,,
AND_VAN_117,Androsace vandelii,Domenon,AV_117,,
AND_VAN_118,Androsace vandelii,Domenon,AV_118,,
AND_VAN_119,Androsace vandelii,Domenon,AV_119,,
AND_VAN_120,Androsace vandelii,Domenon,AV_120,,
AND_VAN_121,Androsace vandelii,Domenon,AV_121,,
AND_VAN_123,Androsace vandelii,Domenon,,GWM-1408,Androsace_vandelii229460ECVT00123GWM1408
AND_VAN_124,Androsace vandelii,Domenon,AV_124,,
AND_VAN_125,Androsace vandelii,Lac Achard,AV_125,GWM-1409,Androsace_vandelii229460ECVT00125GWM1409
AND_VAN_126,Androsace vandelii,Lac Achard,AV_126,,
AND_VAN_127,Androsace vandelii,Lac Achard,AV_127,,
AND_VAN_129,Androsace vandelii,Lac Achard,AV_129,,
AND_VAN_130,Androsace vandelii,Lac Achard,AV_130,,
AND_VAN_131,Androsace vandelii,Lac Achard,AV_131,,
AND_VAN_132,Androsace vandelii,Lac Achard,AV_132,,
AND_VAN_133,Androsace vandelii,Lac Achard,AV_133,,
AND_VAN_134,Androsace vandelii,Grand Colon I,AV_134,,
AND_VAN_135,Androsace vandelii,Grand Colon I,AV_135,,
AND_VAN_136,Androsace vandelii,Grand Colon I,AV_136,,
AND_VAN_137,Androsace vandelii,Grand Colon I,AV_137,,
AND_VAN_138,Androsace vandelii,Grand Colon I,AV_138,,
AND_VAN_139,Androsace vandelii,Grand Colon I,AV_139,,
AND_VAN_140,Androsace vandelii,Grand Colon II,AV_140,GWM-1410,
AND_VAN_141,Androsace vandelii,Grand Colon II,AV_141,,
AND_VAN_142,Androsace vandelii,Grand Colon II,AV_142,,
AND_VAN_144,Androsace vandelii,Grand Colon II,AV_144,,
AND_VAN_145,Androsace vandelii,Grand Colon II,AV_145,,
